NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS
RENAISSANCE MANOR OF WESTFIELD,37 FEEDING HILLS RD,WESTFIELD,MA,01085,4605,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,71,,,
WESTFIELD STATE COLLEGE,PO BOX 1630,WESTFIELD,MA,01086,1630,25013,HAMPDEN,,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PUBLIC,>2000,,,,
NOBLE HOSPITAL,PO BOX 1634,WESTFIELD,MA,01086,1634,25013,HAMPDEN,,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,
BRIGHTSIDE FOR FAMILIES AND CHILDREN,2112 RIVERDALE ST,WEST SPRINGFIELD,MA,01089,1024,25013,HAMPDEN,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CHILD AND FAMILY SERVICES-SUBSTANCE ABS,425 UNION ST,WEST SPRINGFIELD,MA,01089,4115,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WINGATE AT WEST SPRINGFIELD,42 PROSPECT AVE,WEST SPRINGFIELD,MA,01089,4510,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138,,,
WARREN SENIOR CENTER,PO BOX 428,WEST WARREN,MA,01092,0428,25027,WORCESTER,,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WILBRAHAM COA SENIOR CENTER,45B POST OFFICE PARK,WILBRAHAM,MA,01095,1159,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LIFE CARE CENTER OF WILBRAHAM,2399 BOSTON RD,WILBRAHAM,MA,01095,1185,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,118,,,
WINGATE AT WILBRAHAM,9 MAPLE ST,WILBRAHAM,MA,01095,1730,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,127,,,
SALVATION ARMY ADULT REHAB CENTER-AODA,PO BOX 1569,SPRINGFIELD,MA,01101,1569,25013,HAMPDEN,,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SPRINGFIELD TECHNICAL COMMUNITY COLLEGE,PO BOX 9000,SPRINGFIELD,MA,01102,9000,25013,HAMPDEN,,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,,,,
MERCY MEDICAL CENTER,PO BOX 9012,SPRINGFIELD,MA,01102,9012,25013,HAMPDEN,,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
SPRINGFIELD COA SENIOR CENTER,1600 E COLUMBUS AVE,SPRINGFIELD,MA,01103,1614,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
COMMUNITY CARE MENTAL HEALTH-SBSTNC ABS,273 STATE ST,SPRINGFIELD,MA,01103,1950,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CHILDRENS REHAB SVCS-THE WELDON CENTER,233 CAREW ST,SPRINGFIELD,MA,01104,2377,25013,HAMPDEN,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SHRINERS HOSPITAL FOR CHILDREN,516 CAREW ST,SPRINGFIELD,MA,01104,2330,25013,HAMPDEN,1122,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,SELF-OPERATED,UNCODED,501 TO 1000,,,,
CHAPIN CENTER,200 KENDALL ST,SPRINGFIELD,MA,01104,2532,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,142,Foodbuy,,
GANDARA MENTAL HEALTH CENTER-AODA PRGMS,2155 MAIN ST,SPRINGFIELD,MA,01104,3301,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SPRINGFIELD YMCA SCHOOLS OUT,275 CHESTNUT ST,SPRINGFIELD,MA,01104,3471,25013,HAMPDEN,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
THREE RIVERS RESIDENTIAL TREATMENT,26 RIDGEWOOD TER,SPRINGFIELD,MA,01105,1315,25013,HAMPDEN,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PHOENIX HOUSE SPRINGFIELD CTR-SBSTNC ABS,5 MADISON AVE,SPRINGFIELD,MA,01105,1403,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PHOENIX ACADEMY-SUBSTANCE ABUSE TRTMNT,33 MULBERRY ST,SPRINGFIELD,MA,01105,1406,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NRTHRN EDUC SVC ETHOS RECOVERY HOME AODA,56 TEMPLE ST,SPRINGFIELD,MA,01105,1803,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CHILD-FAMILY SERVICE PIONEER VALLEY AODA,367 PINE ST,SPRINGFIELD,MA,01105,1930,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PUBLIC,51 TO 100,,,,
JULIAN J LEAVITT FAMILY JEWISH NRSG HOME,770 CONVERSE ST,LONGMEADOW,MA,01106,1719,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,196,,,
LONGMEADOW PUBLIC SCHOOLS,127 GRASSY GUTTER RD,LONGMEADOW,MA,01106,2029,25013,HAMPDEN,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,COMPASS,PUBLIC,>2000,,,,
BAY PATH COLLEGE,588 LONGMEADOW ST,LONGMEADOW,MA,01106,2212,25013,HAMPDEN,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,501 TO 1000,,,,
GREENWOOD CHILDRENS CENTER-EXTENDED DAY,231 MAPLE RD,LONGMEADOW,MA,01106,3100,25013,HAMPDEN,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
HABIT MANAGEMENT INSTITUTE-METH SERVICES,2257 MAIN ST,SPRINGFIELD,MA,01107,1905,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GANDARA ADDICTION RECOVERY PROGRAM,29 ARCH ST,SPRINGFIELD,MA,01107,1909,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SISTERS OF PROVIDENCE METHADONE PROGRAM,227 MILL ST,SPRINGFIELD,MA,01108,1007,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MY SISTERS HOUSE-SUBSTANCE ABUSE SERVICE,89 BELMONT AVE,SPRINGFIELD,MA,01108,1637,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SPRINGFIELD JEWISH COMM CTR PRE-K,1160 DICKINSON ST,SPRINGFIELD,MA,01108,3122,25013,HAMPDEN,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
REEDS LANDING HEALTH CENTER,807 WILBRAHAM RD,SPRINGFIELD,MA,01109,2067,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,>2000,38,,,
KINDRED HOSPITAL-PARKVIEW,1400 STATE ST,SPRINGFIELD,MA,01109,2550,25013,HAMPDEN,1122,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,PRIVATE,>2000,25.8,,,"40,698"
MARTIN LUTH KING COMMUNITY CTR CHILDCARE,106 WILBRAHAM RD,SPRINGFIELD,MA,01109,3117,25013,HAMPDEN,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
AMERICAN INTERNATIONAL COLLEGE,1000 STATE ST,SPRINGFIELD,MA,01109,3151,25013,HAMPDEN,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,1001 TO 2000,,,,
EARLY CHILDHOOD CENTERS OF GREATER SPRIN,15 CATHARINE ST,SPRINGFIELD,MA,01109,3505,25013,HAMPDEN,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
CHILDREN STUDY HOME RES TREATMENT CENTER,44 SHERMAN ST,SPRINGFIELD,MA,01109,3517,25013,HAMPDEN,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WILLIAM N DEBERRY ELEMENTARY SCHOOL,670 UNION ST,SPRINGFIELD,MA,01109,3617,25013,HAMPDEN,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
SPRINGFIELD COLLEGE,263 ALDEN ST,SPRINGFIELD,MA,01109,3707,25013,HAMPDEN,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,>2000,,,,
OPPORTUNITY HOUSE-SUBSTANCE ABUSE PRGMS,61 SAINT JAMES AVE,SPRINGFIELD,MA,01109,3858,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
KEY PROGRAM-RESIDENTIAL TREATMENT CENTER,576 STATE ST,SPRINGFIELD,MA,01109,4104,25013,HAMPDEN,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTHERN EDUCATIONAL SVCS ETHOS III-AODA,736 STATE ST,SPRINGFIELD,MA,01109,4110,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
DUNBAR COMMUNITY CENTER,33 OAK ST,SPRINGFIELD,MA,01109,4249,25013,HAMPDEN,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
WINDGATE AT SPRINGFIELD,215 BICENTENNIAL HWY,SPRINGFIELD,MA,01118,1962,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,110,,,
WESTERN NEW ENGLAND COLLEGE,1215 WILBRAHAM RD,SPRINGFIELD,MA,01119,2612,25013,HAMPDEN,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,>2000,,,,
SHARP I-RESIDENTIAL TREATMENT,111 OLD ACRE RD,SPRINGFIELD,MA,01129,1832,25013,HAMPDEN,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MOUNT GREYLOCK EXTENDED CARE FACILITY,1000 NORTH ST,PITTSFIELD,MA,01201,1520,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,93,,,
BERKSHIRE COUNTY SHERIFFS DEPT-JAIL,467 CHESHIRE RD,PITTSFIELD,MA,01201,1820,25003,BERKSHIRE,6320,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HILLCREST COMMONS NURSING AND REHAB,169 VALENTINE RD,PITTSFIELD,MA,01201,3042,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,244,PREMIER,,
BERKSHIRE MEDICAL CENTER,725 NORTH ST,PITTSFIELD,MA,01201,4109,25003,BERKSHIRE,6320,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,152.6,PREMIER,Premier Inc,"55,704"
BRIEN CENTER KEENAN HOUSE-SBSTNC ABUSE,131 BRADFORD ST,PITTSFIELD,MA,01201,4523,25003,BERKSHIRE,6320,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CHRISTIAN CENTER-SUBSTANCE ABUSE SVCS,193 ROBBINS AVE,PITTSFIELD,MA,01201,4540,25003,BERKSHIRE,6320,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
KEENAN HOUSE-SUBSTANCE ABUSE TREATMENT,202 BRADFORD ST,PITTSFIELD,MA,01201,4565,25003,BERKSHIRE,6320,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
RALPH FROIO SENIOR CENTER,330 NORTH ST,PITTSFIELD,MA,01201,4605,25003,BERKSHIRE,6320,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BMC-MENTAL HEALTH -SBSTNC ABUSE PROGRAM,251 FENN ST,PITTSFIELD,MA,01201,5269,25003,BERKSHIRE,6320,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MILDRED ELLEY BUSINESS SCHOOL,505 EAST ST,PITTSFIELD,MA,01201,5300,25003,BERKSHIRE,6320,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,
BEHAVIORAL TREATMENT RESIDENCE,484 WEST ST,PITTSFIELD,MA,01201,5730,25003,BERKSHIRE,6320,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
EMERGENCY SHELTER-RESIDENTIAL TREATMENT,369 WEST ST,PITTSFIELD,MA,01201,5731,25003,BERKSHIRE,6320,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BERKSHIRE COMMUNITY COLLEGE,1350 WEST ST,PITTSFIELD,MA,01201,5720,25003,BERKSHIRE,6320,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,,,,
BERKSHIRE PLACE,89 SOUTH ST,PITTSFIELD,MA,01201,6108,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,22,,,
THE CHILDRENS HOUSE-RES TREATMENT,753 WILLIAMS ST,PITTSFIELD,MA,01201,7403,25003,BERKSHIRE,6320,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
KEY PROGRAM-HOWARD HOUSE RES TRTMNT CTR,942 WILLIAMS ST,PITTSFIELD,MA,01201,7412,25003,BERKSHIRE,6320,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SPRINGSIDE OF PITTSFIELD FACILITY,255 LEBANON AVE,PITTSFIELD,MA,01201,7828,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,88,Foodbuy,,
HILLCREST EDUCATIONAL CTRS-RES TREATMENT,PO BOX 4699,PITTSFIELD,MA,01202,4699,25003,BERKSHIRE,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ADAMS COUNCIL ON AGING-SENIOR CENTER,20 EAST ST,ADAMS,MA,01220,2346,25003,BERKSHIRE,6320,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CHESHIRE SENIOR CITIZENS CLUB,19 SCHOOL ST,CHESHIRE,MA,01225,8927,25003,BERKSHIRE,6320,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ADAMS-CHESHIRE REGIONAL SCHOOL DISTRICT,125 SAVOY RD,CHESHIRE,MA,01225,9018,25003,BERKSHIRE,6320,SCHOOL DISTRICTS,251-500,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
DALTON COUNCIL ON AGING-SENIOR NUTRITION,400 MAIN ST,DALTON,MA,01226,1605,25003,BERKSHIRE,6320,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CRANEVILLE PLACE OF DALTON,265 MAIN ST,DALTON,MA,01226,1614,25003,BERKSHIRE,6320,ASSISTED LIVING,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,86,,,
FAIRVIEW COMMONS NURSING-REHAB CENTER,151 CHRISTIAN HILL RD,GREAT BARRINGTON,MA,01230,1108,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,117,PREMIER,,
MENTAL HEALTH-SBSTNC ABUSE OF BERKSHIRES,60 COTTAGE ST,GREAT BARRINGTON,MA,01230,1302,25003,BERKSHIRE,6320,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
EAGLETON SCHOOL RESIDENTIAL TREATMENT,446 MONTEREY RD,GREAT BARRINGTON,MA,01230,1454,25003,BERKSHIRE,6320,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,
FAIRVIEW HOSPITAL,29 LEWIS AVE,GREAT BARRINGTON,MA,01230,1713,25003,BERKSHIRE,6320,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
GREAT BARRINGTON REHAB AND NURSING CTR,148 MAPLE AVE,GREAT BARRINGTON,MA,01230,1906,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,87,,,
CLAIRE TEAGUE SENIOR CENTER,909 1/2 MAIN ST,GREAT BARRINGTON,MA,01230,2028,25003,BERKSHIRE,6320,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
THE KOLBURNE SCHOOL,343 NEW MARLBORO SOUTHFIELD RD,NEW MARLBOROUGH,MA,01230,2035,25003,BERKSHIRE,6320,PRIMARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,
SIMONS ROCK COLLEGE OF BARD,84 ALFORD RD,GREAT BARRINGTON,MA,01230,1978,25003,BERKSHIRE,6320,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PRIVATE,251 TO 500,,,,
BERKSHIRE HILLS REGIONAL SCHOOL DISTRICT,PO BOX 596,HOUSATONIC,MA,01236,0596,25003,BERKSHIRE,6320,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
BERKSHIRE MEADOWS RESIDENTIAL TREATMENT,249 N PLAIN RD,HOUSATONIC,MA,01236,9736,25003,BERKSHIRE,6320,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LAUREL LAKE CTR HEALTH AND REHAB,620 LAUREL ST,LEE,MA,01238,9181,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,84,,,
VALLEYHEAD RESIDENTIAL TREATMENT CENTER,PO BOX 714,LENOX,MA,01240,0714,25003,BERKSHIRE,6320,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
KIMBALL FARMS NURSING CARE CENTER,40 SUNSET AVE,LENOX,MA,01240,2018,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,1001 TO 2000,73,PREMIER,,
PROVIDENCE CARE CENTER OF LENOX,320 PITTSFIELD RD,LENOX,MA,01240,2377,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,63,,,
COMMUNITY SENIOR CENTER,65 WALKER ST,LENOX,MA,01240,2719,25003,BERKSHIRE,6320,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LENOX PUBLIC SCHOOLS,6 WALKER ST,LENOX,MA,01240,2741,25003,BERKSHIRE,6320,SCHOOL DISTRICTS,1-250,501 TO 1000,NOT APPLICABLE,2,UNCODED,PUBLIC,501 TO 1000,,,,
THE BRIEN CTR FOR MNTL HLTH-SBSTNC ABUSE,25 MARSHALL ST,NORTH ADAMS,MA,01247,2451,25003,BERKSHIRE,6320,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTH ADAMS REGIONAL HOSPITAL,71 HOSPITAL AVE,NORTH ADAMS,MA,01247,2504,25003,BERKSHIRE,6320,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,28.1,Premier Inc,UHC (University HealthSystem Consortium),"10,255"
NORTH ADAMS COMMON,175 FRANKLIN ST,NORTH ADAMS,MA,01247,2712,25003,BERKSHIRE,6320,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,111,,,
NORTH BERKSHIRE REGIONAL VOCATIONAL DIST,70 HODGES CROSSROADS,NORTH ADAMS,MA,01247,3940,25003,BERKSHIRE,6320,SCHOOL DISTRICTS,1-250,251 TO 500,NOT APPLICABLE,1,UNCODED,PUBLIC,251 TO 500,,,,
