NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,market_segment2,units,EMPLOYEES,years_in_business,annual_sales
FAMILY FOODS,FREEBURN,KY,41528,8684,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
HURLEY'S MARKET,FREEBURN,KY,41528,8611,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
WEST STREET WINES & SPIRITS,SIMSBURY,CT,06070,2422,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
IRONVILLE 5 POINTS,ASHLAND,KY,41102,7809,21019,BOYD,3400,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
BARN PACKAGE STORE,SOMERS,CT,06071,2109,09013,TOLLAND,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,ASHLAND,KY,41102,9516,21019,BOYD,3400,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
SUPER QUIK,ASHLAND,KY,41102,9676,21019,BOYD,3400,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
TRAV-MART,ASHLAND,KY,41102,9696,21019,BOYD,3400,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
WILLIS NEWMAN MARKET,GRETHEL,KY,41631,9087,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
HURLEY FLEA MARKET,STOPOVER,KY,41568,8820,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
BROWN'S GROCERY,ARGILLITE,KY,41121,8895,21089,GREENUP,3400,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
B & C SUPER MARKET,BLAINE,KY,41124,8946,21127,LAWRENCE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
DOUBLE KWIK,JENKINS,KY,41537,8755,21133,LETCHER,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FRANK'S MARKET,JENKINS,KY,41537,7900,21133,LETCHER,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
IGA,JENKINS,KY,41537,9145,21133,LETCHER,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
CLIPPER LIQUORS,GARRETT,KY,41630,9044,21119,KNOTT,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
MIDWEST HERB CO,GARRETT,KY,41630,6937,21071,FLOYD,,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BIG Y LIQUOR VIDEO & TANNING,GRETHEL,KY,41631,9009,21071,FLOYD,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
T & J FAMILY FOODS,KIMPER,KY,41539,6105,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BLACKBURN FAMILY FOODS,LICK CREEK,KY,41540,8102,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,">$5,000,000"
DZEN GARDEN MARKET,SOMERS,CT,06071,1823,09013,TOLLAND,3280,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
NEWMAN'S SHOP A LOT,HAROLD,KY,41635,6331,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
P & B LIQUORS & DISCOUNT,HAROLD,KY,41635,7020,21071,FLOYD,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
PRICE-RITE MARKET,HI HAT,KY,41636,6220,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
P C MARKET,MC ANDREWS,KY,41543,9998,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
QUALITY FOODS,MC CARR,KY,41544,8543,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
WOODY'S CARRY OUT,HUEYSVILLE,KY,41640,6644,21071,FLOYD,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
D & S MINI MART,MOUTHCARD,KY,41548,8327,21195,PIKE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
ROGER'S GROCERY,MOUTHCARD,KY,41548,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
GAVLAK ENTERPRISES LLC,SOMERS,CT,06071,1224,09013,TOLLAND,3280,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
GEISSLER'S SUPER MARKET,SOMERS,CT,06071,2109,09013,TOLLAND,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
PIC-PAC INC,PHELPS,KY,41553,8603,21195,PIKE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
JUSTICE GENERAL STORE,PHYLLIS,KY,41554,8823,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
T & K PRODUCE,LANGLEY,KY,41645,6560,21071,FLOYD,,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CASEY'S FOOD INC,MC DOWELL,KY,41647,0286,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
HORSE RIDGE CELLARS,SOMERS,CT,06071,2109,09013,TOLLAND,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
GOFF'S COMMUNITY MARKET,RACCOON,KY,41557,8309,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
IGA,MC DOWELL,KY,41647,6043,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
NEWSOMES WINE & SPIRITS,MC DOWELL,KY,41647,,21071,FLOYD,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
QUALITY FOODS,REGINA,KY,41559,,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
IGA,MARTIN,KY,41649,7813,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,2 TO 5 YEARS,"$500,001 - $1,000,000"
COMMUNITY MARKET,ROBINSON CREEK,KY,41560,8556,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
JUSTICE QUALITY FOODS INC.,ROBINSON CREEK,KY,41560,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KAMAN'S WINE & LIQUORS,SOMERS,CT,06071,2109,09013,TOLLAND,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SAVE-A-LOT,MARTIN,KY,41649,7844,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,5 YEARS PLUS,">$5,000,000"
FOPPEMA'S FARM,NORTHBRIDGE,MA,01534,1155,25027,WORCESTER,1122,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
KASSANDRA HERBS UNLIMITED,SOMERS,CT,06071,1618,09013,TOLLAND,3280,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
TRIANGLE MARKET,MARTIN,KY,41649,7992,21071,FLOYD,,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
MINNIE DOUBLE KWIK,MINNIE,KY,41651,,,,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
THACKER'S GROCERY,SHELBIANA,KY,41562,8225,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
BIG CANDY COMMUNITY & TCHNCL,PRESTONSBURG,KY,41653,1815,21071,FLOYD,,CONFECTIONERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
CARDINAL COUNTRY STORE,PRESTONSBURG,KY,41653,1384,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
COUNTRY AT HEART & OLD TOWN,PRESTONSBURG,KY,41653,1640,21071,FLOYD,,CONFECTIONERS,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,">$5,000,000"
COUNTRY STORE,PRESTONSBURG,KY,41653,,21071,FLOYD,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
WILLIAMS FAMILY FOOD,SIDNEY,KY,41564,8507,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
FIRST STOP GROCERY,PRESTONSBURG,KY,41653,1500,21071,FLOYD,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
FOOD CITY,PRESTONSBURG,KY,41653,1071,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FOOD CITY,PRESTONSBURG,KY,41653,7958,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
JENNY WILEY VILLAGE LIQUORS,PRESTONSBURG,KY,41653,1384,21071,FLOYD,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
IGA,STANVILLE,KY,41659,9001,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
SAM'S FOOD STORES,SOMERS,CT,06071,2102,09013,TOLLAND,3280,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000"
SAVE-A-LOT,PRESTONSBURG,KY,41653,1154,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
TOP CAT LIQUORS,PRESTONSBURG,KY,41653,9200,21071,FLOYD,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
WILDCAT STOP INC,PRESTONSBURG,KY,41653,9114,21071,FLOYD,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000"
WOODS GROCERY INC,PRESTONSBURG,KY,41653,9005,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,UNCODED
HAMILTON'S GROCERY & DELI,VIRGIE,KY,41572,,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
GARY'S VARIETY & SPIRITS,NORTHBRIDGE,MA,01534,1256,25027,WORCESTER,1122,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MIKE TACKETT'S MARKET,VIRGIE,KY,41572,8375,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ROSIE'S GROCERY,VIRGIE,KY,41572,8739,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
IGA,VIRGIE,KY,41572,8970,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
COUNTRY STORE,ALLEN,KY,41601,,,,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
D'S GROCERY,TEABERRY,KY,41660,9052,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
WOODS GROCERY,ALLEN,KY,41601,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
ADKINS PURITAN WATER,TRAM,KY,41663,,,,,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
COUNTY LINE LIQUORS,AUXIER,KY,41602,9224,21071,FLOYD,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BOYD'S CARRYOUT,BANNER,KY,41603,8021,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
J & J LIQUORS CO,BETSY LAYNE,KY,41605,,21071,FLOYD,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KORC COUNTRY STORE,BETSY LAYNE,KY,41605,7052,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
VELOCITY MARKET,BETSY LAYNE,KY,41605,7066,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
SLONES SUPER MARKET,BEVINSVILLE,KY,41606,6110,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
LOTTS CREEK COMMUNITY MART,HAZARD,KY,41701,9034,21119,KNOTT,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
MAGGARD GROCERY,HAZARD,KY,41701,8147,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BARGAIN BARN INC UNITED GROCERY,HAZARD,KY,41701,9405,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BOAT,HAZARD,KY,41701,7246,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
CAMPBELLS GROCERY,HAZARD,KY,41701,6948,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
HALL'S COMMUNITY MARKET,BYPRO,KY,41612,9004,21071,FLOYD,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FOOD CITY,HAZARD,KY,41701,9447,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FOODLAND,HAZARD,KY,41701,6841,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),51-100 UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
GLO-MART,HAZARD,KY,41701,6021,21193,PERRY,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
JOY FOOD STORES,HAZARD,KY,41701,1247,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
XTRA MART,SOMERS,CT,06071,1823,09013,TOLLAND,3280,CONVENIENCE STORES,51-100 UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
L & R,HAZARD,KY,41701,7845,21193,PERRY,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,HAZARD,KY,41701,6841,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,HAZARD,KY,41701,1352,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
SMITTY'S FRUIT MARKET,HAZARD,KY,41701,6862,21193,PERRY,,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
HARRIS PRODUCE,BONNYMAN,KY,41719,8973,21193,PERRY,,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
AMBURGEY GROCERY,ROXANA,KY,41848,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
CAMPBELLS GROCERY,ARY,KY,41712,0444,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BLEVINS GROCERY,BEAR BRANCH,KY,41714,0127,21131,LESLIE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$500,001 - $1,000,000"
TRIPLE R,BEAR BRANCH,KY,41714,8971,21131,LESLIE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
BUSH GROCERY,BONNYMAN,KY,41719,8906,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
DOUBLE KWIK,WHITESBURG,KY,41858,7601,21133,LETCHER,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
E DRAGHI & SON FARM STAND,S GLASTONBURY,CT,06073,3000,09003,HARTFORD,3280,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"<=$500,000"
DRY FORK MARKET,WHITESBURG,KY,41858,8580,21133,LETCHER,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
ERMINE DOUBLE KWIK,WHITESBURG,KY,41858,7956,21133,LETCHER,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FOOD CITY,WHITESBURG,KY,41858,9323,21133,LETCHER,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
FOOD WORLD,WHITESBURG,KY,41858,7028,21133,LETCHER,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
H & T STOP-N-SHOP,WHITESBURG,KY,41858,8967,21133,LETCHER,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
GARDINER'S MARKET,S GLASTONBURY,CT,06073,2220,09003,HARTFORD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
MC AULEY GROCERY,KONA,KY,41858,7860,21133,LETCHER,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
RICE'S GROCERY,BUCKHORN,KY,41721,8511,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
SAVE-A-LOT,WHITESBURG,KY,41858,7406,21133,LETCHER,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
TRENT GROCERY,WHITESBURG,KY,41858,8636,21133,LETCHER,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,2 TO 5 YEARS,UNCODED
JOE'S SUPERETTE,BULAN,KY,41722,8709,21193,PERRY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
